metode,no,tipe,query,preprocessed,contoh,kode_gt,rank,top1,top3,top10,rr
1. SQL LIKE (Baseline),1,KBLI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),,,01122,0,0,0,0,0.0
1. SQL LIKE (Baseline),2,KBJI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),,,9211,0,0,0,0,0.0
1. SQL LIKE (Baseline),3,KBLI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA",,,31011,0,0,0,0,0.0
1. SQL LIKE (Baseline),4,KBJI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA",,,7523,0,0,0,0,0.0
1. SQL LIKE (Baseline),5,KBLI,PERTANIAN,,,01122,0,0,0,0,0.0
1. SQL LIKE (Baseline),6,KBJI,PERTANIAN,,,9211,0,0,0,0,0.0
1. SQL LIKE (Baseline),7,KBLI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,,,47249,0,0,0,0,0.0
1. SQL LIKE (Baseline),8,KBJI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,,,5212,0,0,0,0,0.0
1. SQL LIKE (Baseline),9,KBLI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,,,85316,0,0,0,0,0.0
1. SQL LIKE (Baseline),10,KBJI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,,,2330,0,0,0,0,0.0
1. SQL LIKE (Baseline),11,KBLI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",,,16211,0,0,0,0,0.0
1. SQL LIKE (Baseline),12,KBJI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",,,9329,0,0,0,0,0.0
1. SQL LIKE (Baseline),13,KBLI,PERTANIAN PADI,,,01122,2,0,1,1,0.5
1. SQL LIKE (Baseline),14,KBJI,PERTANIAN PADI,,,6111,0,0,0,0,0.0
1. SQL LIKE (Baseline),15,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,,,01134,0,0,0,0,0.0
1. SQL LIKE (Baseline),16,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,,,9211,0,0,0,0,0.0
1. SQL LIKE (Baseline),17,KBLI,KONTRUKSI RUMAH DI DESA,,,41011,0,0,0,0,0.0
1. SQL LIKE (Baseline),18,KBJI,KONTRUKSI RUMAH DI DESA,,,7112,0,0,0,0,0.0
1. SQL LIKE (Baseline),19,KBLI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,,,47749,0,0,0,0,0.0
1. SQL LIKE (Baseline),20,KBJI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,,,5249,0,0,0,0,0.0
1. SQL LIKE (Baseline),21,KBLI,PEDAGANG MOTOR DI RUMAH SENDIRI,,,47832,0,0,0,0,0.0
1. SQL LIKE (Baseline),22,KBJI,PEDAGANG MOTOR DI RUMAH SENDIRI,,,5249,0,0,0,0,0.0
1. SQL LIKE (Baseline),23,KBLI,JASA TRANSPORTASI,,,49231,0,0,0,0,0.0
1. SQL LIKE (Baseline),24,KBJI,JASA TRANSPORTASI,,,8322,0,0,0,0,0.0
1. SQL LIKE (Baseline),25,KBLI,PENYEDIA BHAN BAKU MAKANAN,,,47213,0,0,0,0,0.0
1. SQL LIKE (Baseline),26,KBJI,PENYEDIA BHAN BAKU MAKANAN,,,9520,0,0,0,0,0.0
1. SQL LIKE (Baseline),27,KBLI,TUKANG BATU,,,41011,0,0,0,0,0.0
1. SQL LIKE (Baseline),28,KBJI,TUKANG BATU,,,7111,0,0,0,0,0.0
1. SQL LIKE (Baseline),29,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,,,01134,0,0,0,0,0.0
1. SQL LIKE (Baseline),30,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,,,9211,0,0,0,0,0.0
1. SQL LIKE (Baseline),31,KBLI,PERTANIAN PADI DI SAWAH MILIK SENDIRI,,,01122,0,0,0,0,0.0
1. SQL LIKE (Baseline),32,KBJI,PERTANIAN PADI DI SAWAH MILIK SENDIRI,,,6111,0,0,0,0,0.0
1. SQL LIKE (Baseline),33,KBLI,BURUH (PELAYAN DI TOKO KLONTONG),,,47112,0,0,0,0,0.0
1. SQL LIKE (Baseline),34,KBJI,BURUH (PELAYAN DI TOKO KLONTONG),,,5223,0,0,0,0,0.0
1. SQL LIKE (Baseline),35,KBLI,MENCUCI MOTOR DAN MOBIL,,,81290,0,0,0,0,0.0
1. SQL LIKE (Baseline),36,KBJI,MENCUCI MOTOR DAN MOBIL,,,9122,0,0,0,0,0.0
1. SQL LIKE (Baseline),37,KBLI,MENJUAL BOTOK PELAS DAN PECEL,,,56101,0,0,0,0,0.0
1. SQL LIKE (Baseline),38,KBJI,MENJUAL BOTOK PELAS DAN PECEL,,,5212,0,0,0,0,0.0
1. SQL LIKE (Baseline),39,KBLI,PENYEDIAAN MAKANAN,,,56210,3,0,1,1,0.3333
1. SQL LIKE (Baseline),40,KBJI,PENYEDIAAN MAKANAN,,,9412,0,0,0,0,0.0
1. SQL LIKE (Baseline),41,KBLI,"BURUH BANGUNAN, MENGADUK SEMEN",,,41011,0,0,0,0,0.0
1. SQL LIKE (Baseline),42,KBJI,"BURUH BANGUNAN, MENGADUK SEMEN",,,7111,0,0,0,0,0.0
1. SQL LIKE (Baseline),43,KBLI,MENJUAL ES TEH JUMBO,,,56303,0,0,0,0,0.0
1. SQL LIKE (Baseline),44,KBJI,MENJUAL ES TEH JUMBO,,,5223,0,0,0,0,0.0
1. SQL LIKE (Baseline),45,KBLI,JASA ANTAR UNDANGAN ACARA,,,96909,0,0,0,0,0.0
1. SQL LIKE (Baseline),46,KBJI,JASA ANTAR UNDANGAN ACARA,,,5169,0,0,0,0,0.0
1. SQL LIKE (Baseline),47,KBLI,JASA KONTRUKSI TUKANG BANGUNAN HARIAN,,,41011,0,0,0,0,0.0
1. SQL LIKE (Baseline),48,KBJI,JASA KONTRUKSI TUKANG BANGUNAN HARIAN,,,7111,0,0,0,0,0.0
1. SQL LIKE (Baseline),49,KBLI,PEYEDIA MAKANAN SIOMAY KELILING DENGAN SEPEDA,,,56102,0,0,0,0,0.0
1. SQL LIKE (Baseline),50,KBJI,PEYEDIA MAKANAN SIOMAY KELILING DENGAN SEPEDA,,,5212,0,0,0,0,0.0
1. SQL LIKE (Baseline),51,KBLI,"MENCAMPUR SEMEN, MENGANGKUT MATERIAL, MEMASANG BATA, PLESTER DINDING, DAN MEN",,,41011,0,0,0,0,0.0
1. SQL LIKE (Baseline),52,KBJI,"MENCAMPUR SEMEN, MENGANGKUT MATERIAL, MEMASANG BATA, PLESTER DINDING, DAN MEN",,,7111,0,0,0,0,0.0
1. SQL LIKE (Baseline),53,KBLI,MENGOPERASIKAN DAN MEMPERBAIKI MESIN PRODUKSI DAN PERAWATAN BERKALA,,,16101,0,0,0,0,0.0
1. SQL LIKE (Baseline),54,KBJI,MENGOPERASIKAN DAN MEMPERBAIKI MESIN PRODUKSI DAN PERAWATAN BERKALA,,,3122,0,0,0,0,0.0
1. SQL LIKE (Baseline),55,KBLI,PERTANIAN BAWANG MERAH MILIK ORANG LAIN,,,01134,0,0,0,0,0.0
1. SQL LIKE (Baseline),56,KBJI,PERTANIAN BAWANG MERAH MILIK ORANG LAIN,,,9211,0,0,0,0,0.0
1. SQL LIKE (Baseline),57,KBLI,KONTRUSI RUMAH,,,41011,0,0,0,0,0.0
1. SQL LIKE (Baseline),58,KBJI,KONTRUSI RUMAH,,,7112,0,0,0,0,0.0
1. SQL LIKE (Baseline),59,KBLI,INDUSTRI AIR ISI ULANG,,,11052,0,0,0,0,0.0
1. SQL LIKE (Baseline),60,KBJI,INDUSTRI AIR ISI ULANG,,,8183,0,0,0,0,0.0
2. Hybrid Search,1,KBLI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),,,01122,1,1,1,1,1.0
2. Hybrid Search,2,KBJI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),,,9211,1,1,1,1,1.0
2. Hybrid Search,3,KBLI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA",,,31011,1,1,1,1,1.0
2. Hybrid Search,4,KBJI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA",,,7523,1,1,1,1,1.0
2. Hybrid Search,5,KBLI,PERTANIAN,,,01122,0,0,0,0,0.0
2. Hybrid Search,6,KBJI,PERTANIAN,,,9211,0,0,0,0,0.0
2. Hybrid Search,7,KBLI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,,,47249,1,1,1,1,1.0
2. Hybrid Search,8,KBJI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,,,5212,1,1,1,1,1.0
2. Hybrid Search,9,KBLI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,,,85316,1,1,1,1,1.0
2. Hybrid Search,10,KBJI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,,,2330,0,0,0,0,0.0
2. Hybrid Search,11,KBLI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",,,16211,1,1,1,1,1.0
2. Hybrid Search,12,KBJI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",,,9329,1,1,1,1,1.0
2. Hybrid Search,13,KBLI,PERTANIAN PADI,,,01122,2,0,1,1,0.5
2. Hybrid Search,14,KBJI,PERTANIAN PADI,,,6111,3,0,1,1,0.3333
2. Hybrid Search,15,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,,,01134,1,1,1,1,1.0
2. Hybrid Search,16,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,,,9211,1,1,1,1,1.0
2. Hybrid Search,17,KBLI,KONTRUKSI RUMAH DI DESA,,,41011,1,1,1,1,1.0
2. Hybrid Search,18,KBJI,KONTRUKSI RUMAH DI DESA,,,7112,1,1,1,1,1.0
2. Hybrid Search,19,KBLI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,,,47749,1,1,1,1,1.0
